Date / Time,CPU Usage %,Temperature C
2021-05-02 23:12:39.201066,22.6,62.8
2021-05-02 23:12:49.624005,2.3,61.8
2021-05-02 23:12:59.898653,2.6,61.2
2021-05-02 23:13:10.201977,2.3,62.3
2021-05-02 23:13:20.494815,1.2,61.2
2021-05-02 23:13:30.754603,2.3,61.2
2021-05-02 23:13:41.037477,2.3,61.2
2021-05-02 23:13:51.292492,2.2,61.2
2021-05-02 23:14:01.572000,2.4,61.8
2021-05-02 23:14:11.911808,0.9,61.2
2021-05-02 23:14:22.205191,2.2,61.2
2021-05-02 23:14:32.547951,2.3,61.8
2021-05-02 23:14:42.791344,2.2,61.2
2021-05-02 23:14:53.064639,2.3,61.8
2021-05-02 23:15:03.285061,1.1,61.2
2021-05-02 23:15:13.532161,2.1,61.2
2021-05-02 23:15:23.969613,2.3,61.2
